03/05/2023,-17.22,RivaReno PSQ Parramatta NS AUS Card xx6552 Value Date: 01/05/2023,+11431.97
03/05/2023,-15,MED*ALDIMobile CHATSWOOD AU AUS Card xx6552 Value Date: 01/05/2023,+11449.19
03/05/2023,-3.49,LAWLERS WHOLELIFE DEE WHY NS AUS Card xx0033 Value Date: 01/05/2023,+11464.19
03/05/2023,-7.42,SMP*The Grind on Geo Parramatta AU AUS Card xx0033 Value Date: 01/05/2023,+11467.68
02/05/2023,-6.1,SMP*Muchacha Mexican North Curl Cu AU AUS Card xx6552 Value Date: 29/04/2023,+11475.10
02/05/2023,-5.44,TRANSPORTFORNSW TAP SYDNEY AUS Card xx6552 Value Date: 29/04/2023,+11481.20
02/05/2023,-21.72,Girdlers Dee Why Dee Why NS AUS Card xx0033 Value Date: 28/04/2023,+11486.64
02/05/2023,-2.4,Northern Beaches Libra Dee Why NS AUS Card xx0033 Value Date: 28/04/2023,+11508.36
02/05/2023,-12,Northern Beaches Libra Dee Why NS AUS Card xx0033 Value Date: 28/04/2023,+11510.76
02/05/2023,-2,Northern Beaches Libra Dee Why NS AUS Card xx0033 Value Date: 28/04/2023,+11522.76
02/05/2023,-54.89,SMP*Muchacha Mexican North Curl Cu AU AUS Card xx0033 Value Date: 29/04/2023,+11524.76
01/05/2023,+2450.00,CASH DEPOSIT CBA ATM DEE WHY B NSW 215502 AUS,+11579.65
01/05/2023,-4,Account Fee,+9129.65
